9952426,2
10014552,2
10095232,2
10099950,2
10132892,2
10136626,2
10210677,2
10255812,6
10422793,2
10592438,2
10595489,2
10678449,2
10764226,2
11045096,2
11097836,2
11481389,2
11557472,2
11635178,2
11711100,2
11711150,2
11711636,2
11780124,2
11788268,3
11800905,2
11906239,2
11914966,2
11929369,2
11941800,2
12401265,2
12407652,2
12409642,2
12451991,2
12561507,2
12564089,2
12569093,2
12572098,2
12572752,3
12703703,5
12753764,2
12768029,2
12787016,3
12918171,2
12956674,2
13060917,2
13107618,2
13336372,2
13336895,2
13452029,2
13474623,2
13498766,2
13532626,2
13594853,2
13693084,2
13751180,2
13856231,2
13908259,2
13934616,2
13944445,2
13985896,2
14095459,2
14099484,8
14113811,2
14245992,2
14262733,2
14289423,2
14339722,2
14343336,2
14367353,2
14404386,2
14411646,2
14523293,2
14548487,2
14693335,2
14759689,2
14789055,2
14802650,2
14820865,2
14895172,2
14901389,2
14993287,2
15034737,2
15063964,2
15092233,2
15149291,2
15343952,2
15410849,2
15416092,2
15431986,2
15519926,2
15586718,2
15641711,2
15808622,2
15880950,2
15963625,2
16018733,2
16075571,2
16089695,2
16187687,2
16188573,2
16239251,2
16277400,2
16363786,2
16401974,2
16412231,2
16430058,4
16595101,2
